subscriber_nb,date,voc_type_category,sentiment_type,customer_voc_sentence,callcenter_voc_sentence,total_voc_sentence
100,2019-01-01,가입,1,여보세요. KT 웨어러블 단말 서비스에 가입하고 싶어서 연락드렸는데요. 가입하는 방법이 홈페이지에도 잘 나와있지 않아서 어떻게 하는건지 문의드리려고 전화했어요. 네 가입시켜주세요. 감사합니다. 수고하세요.,네 고객님. KT 웨어러블콜 서비스에 가입을 원하시는거죠. 월 요금은 11000원이고 가입 시 착신전환 및 원넘버와 동시착신 서비스를 이용하실 수 있습니다. 가입하시겠습니까? 네 고객님 처리 되었습니다. 내일부터 바로 이용하실 수 있습니다.,여보세요. KT 웨어러블 단말 서비스에 가입하고 싶어서 연락드렸는데요. 가입하는 방법이 홈페이지에도 잘 나와있지 않아서 어떻게 하는건지 문의드리려고 전화했어요. 네 가입시켜주세요. 감사합니다. 수고하세요.  네 고객님. KT 웨어러블콜 서비스에 가입을 원하시는거죠. 월 요금은 11000원이고 가입 시 착신전환 및 원넘버와 동시착신 서비스를 이용하실 수 있습니다. 가입하시겠습니까? 네 고객님 처리 되었습니다. 내일부터 바로 이용하실 수 있습니다.
100,2019-01-02,해지,0,케이티 모바일 TV 서비스를 이용하고 있는데 너무 느리고 불편해서 그만 쓰고 싶어요. 해지하려고 하는데 어떻게 해야하죠? 네 제가 원하는 채널도 안나오고 가격도 너무 비싸서 그만쓰고 싶어요. 내일 부터 해지시켜주세요. ,네 고객님 케이티 모바일 TV를 3년동안 이용하고 계시는데 해지 처리를 원하시는 거죠. 혹시 3개월 TV 무료 이용권을 지원해 드릴테니 더 이용해보실 생각은 없으신가요? 네 알겠습니다. 그러면 해지 처리 도와드리겠습니다.,케이티 모바일 TV 서비스를 이용하고 있는데 너무 느리고 불편해서 그만 쓰고 싶어요. 해지하려고 하는데 어떻게 해야하죠? 네 제가 원하는 채널도 안나오고 가격도 너무 비싸서 그만쓰고 싶어요. 내일 부터 해지시켜주세요. 네 고객님 케이티 모바일 TV를 3년동안 이용하고 계시는데 해지 처리를 원하시는 거죠. 혹시 3개월 TV 무료 이용권을 지원해 드릴테니 더 이용해보실 생각은 없으신가요? 네 알겠습니다. 그러면 해지 처리 도와드리겠습니다.
100,2019-01-03,단순문의,2,저희 아들이 고등학생인데 KT 청소년 요금제로 사용할 수 있는게 어떤게 있는지 알고 싶어요. 네 3만원에서 5만원 사이면 될 거 같고 데이터는 하루에 1G 정도 사용할 거 같아요. 네 청소년 안심 요금제로 사용하면 되겠네요. 감사합니다.,안녕하세요. 고객님. 자녀분이 고등학생이시면 청소년 요금제 중에서는 1020 안심 요금제를 쓰는것을 추천해 드립니다. 네 도움이 되셨다니 다행입니다. 감사합니다.,저희 아들이 고등학생인데 KT 청소년 요금제로 사용할 수 있는게 어떤게 있는지 알고 싶어요. 네 3만원에서 5만원 사이면 될 거 같고 데이터는 하루에 1G 정도 사용할 거 같아요. 네 청소년 안심 요금제로 사용하면 되겠네요. 감사합니다. 안녕하세요. 고객님. 자녀분이 고등학생이시면 청소년 요금제 중에서는 1020 안심 요금제를 쓰는것을 추천해 드립니다. 네 도움이 되셨다니 다행입니다. 감사합니다.
100,2019-01-04,단순문의,1,KT 요금제 쓰고 있는데 만족하고 잘 쓰고 있어서 좋아요. 새로 나온 요금제가 괜찮다고 들었는데 어떤게 있나요? 신규 상품을 알고싶어요,고객님 안녕하세요. 저희 KT 요금제를 만족하면서 쓰고 계시다니 정말 기쁩니다. 고객님께서 더욱 좋아하실 만한 요금제로 추천해 드리도록 하겠습니다. 문자 메세지 확인을 부탁 드립니다. 고객님 안녕하세요. 저희 KT 요금제를 만족하면서 쓰고 계시다니 정말 기쁩니다. 고객님께서 더욱 좋아하실 만한 요금제로 추천해 드리도록 하겠습니다. 문자 메세지 확인을 부탁 드립니다.,KT 요금제 쓰고 있는데 만족하고 잘 쓰고 있어서 좋아요. 새로 나온 요금제가 괜찮다고 들었는데 어떤게 있나요?
100,2019-01-05,불만접수,0,오늘 요금고지서를 받아보니 사용하지도 않은 결제 요금이 나갔어요. 다시는 이런일이 없도록 해주세요. 왜 제가 모르는 요금을 내야 하는지 정말 화나네요. 한번 더 이런일이 생기면 인터넷 민원을 넣겠어요. 네.,네 고객님 저희 전산상의 오류인것 같고 잘못된 사항은 바로 조치하도록 하겠습니다. 불편을 드려서 정말 죄송합니다. 내일이면 정상적인 요금고지서를 받아 보실 수 있을거에요.,오늘 요금고지서를 받아보니 사용하지도 않은 결제 요금이 나갔어요. 다시는 이런일이 없도록 해주세요. 왜 제가 모르는 요금을 내야 하는지 정말 화나네요. 한번 더 이런일이 생기면 인터넷 민원을 넣겠어요. 네.  네 고객님 저희 전산상의 오류인것 같고 잘못된 사항은 바로 조치하도록 하겠습니다. 불편을 드려서 정말 죄송합니다. 내일이면 정상적인 요금고지서를 받아 보실 수 있을거에요.
100,2019-01-06,명의변경,2,이 휴대폰 번호는 저희 아버지가 사용하고 있었는데 오늘부터는 저 본인 명의로 변경하고 싶어요. 어떻게 진행하면 되나요? 네. 인터넷으로 신청했고 아직 처리 되지는 않았어요. 언제부터 명의 변경이 이뤄지나요? 네 알겠습니다.,네 고객님 명의변경을 위해서는 인터넷 신청서를 등록해 주셔야 합니다. 네 확인해보니 등록이 되었고 바로 처리해 드리도록 하겠습니다. 내일부터는 명의 변경이 이뤄집니다. 감사합니다.,이 휴대폰 번호는 저희 아버지가 사용하고 있었는데 오늘부터는 저 본인 명의로 변경하고 싶어요. 어떻게 진행하면 되나요? 네. 인터넷으로 신청했고 아직 처리 되지는 않았어요. 언제부터 명의 변경이 이뤄지나요? 네 알겠습니다. 네 고객님 명의변경을 위해서는 인터넷 신청서를 등록해 주셔야 합니다. 네 확인해보니 등록이 되었고 바로 처리해 드리도록 하겠습니다. 내일부터는 명의 변경이 이뤄집니다. 감사합니다.
100,2019-01-07,가입,1,여보세요. KT 웨어러블 단말 서비스에 가입하고 싶어서 연락드렸는데요. 가입하는 방법이 홈페이지에도 잘 나와있지 않아서 어떻게 하는건지 문의드리려고 전화했어요. 네 가입시켜주세요. 감사합니다. 수고하세요.,네 고객님. KT 웨어러블콜 서비스에 가입을 원하시는거죠. 월 요금은 11000원이고 가입 시 착신전환 및 원넘버와 동시착신 서비스를 이용하실 수 있습니다. 가입하시겠습니까? 네 고객님 처리 되었습니다. 내일부터 바로 이용하실 수 있습니다.,여보세요. KT 웨어러블 단말 서비스에 가입하고 싶어서 연락드렸는데요. 가입하는 방법이 홈페이지에도 잘 나와있지 않아서 어떻게 하는건지 문의드리려고 전화했어요. 네 가입시켜주세요. 감사합니다. 수고하세요.  네 고객님. KT 웨어러블콜 서비스에 가입을 원하시는거죠. 월 요금은 11000원이고 가입 시 착신전환 및 원넘버와 동시착신 서비스를 이용하실 수 있습니다. 가입하시겠습니까? 네 고객님 처리 되었습니다. 내일부터 바로 이용하실 수 있습니다.
100,2019-01-08,해지,0,케이티 모바일 TV 서비스를 이용하고 있는데 너무 느리고 불편해서 그만 쓰고 싶어요. 해지하려고 하는데 어떻게 해야하죠? 네 제가 원하는 채널도 안나오고 가격도 너무 비싸서 그만쓰고 싶어요. 내일 부터 해지시켜주세요. ,네 고객님 케이티 모바일 TV를 3년동안 이용하고 계시는데 해지 처리를 원하시는 거죠. 혹시 3개월 TV 무료 이용권을 지원해 드릴테니 더 이용해보실 생각은 없으신가요? 네 알겠습니다. 그러면 해지 처리 도와드리겠습니다.,케이티 모바일 TV 서비스를 이용하고 있는데 너무 느리고 불편해서 그만 쓰고 싶어요. 해지하려고 하는데 어떻게 해야하죠? 네 제가 원하는 채널도 안나오고 가격도 너무 비싸서 그만쓰고 싶어요. 내일 부터 해지시켜주세요. 네 고객님 케이티 모바일 TV를 3년동안 이용하고 계시는데 해지 처리를 원하시는 거죠. 혹시 3개월 TV 무료 이용권을 지원해 드릴테니 더 이용해보실 생각은 없으신가요? 네 알겠습니다. 그러면 해지 처리 도와드리겠습니다.
100,2019-01-09,단순문의,2,저희 아들이 고등학생인데 KT 청소년 요금제로 사용할 수 있는게 어떤게 있는지 알고 싶어요. 네 3만원에서 5만원 사이면 될 거 같고 데이터는 하루에 1G 정도 사용할 거 같아요. 네 청소년 안심 요금제로 사용하면 되겠네요. 감사합니다.,안녕하세요. 고객님. 자녀분이 고등학생이시면 청소년 요금제 중에서는 1020 안심 요금제를 쓰는것을 추천해 드립니다. 네 도움이 되셨다니 다행입니다. 감사합니다.,저희 아들이 고등학생인데 KT 청소년 요금제로 사용할 수 있는게 어떤게 있는지 알고 싶어요. 네 3만원에서 5만원 사이면 될 거 같고 데이터는 하루에 1G 정도 사용할 거 같아요. 네 청소년 안심 요금제로 사용하면 되겠네요. 감사합니다. 안녕하세요. 고객님. 자녀분이 고등학생이시면 청소년 요금제 중에서는 1020 안심 요금제를 쓰는것을 추천해 드립니다. 네 도움이 되셨다니 다행입니다. 감사합니다.
100,2019-01-10,가입,1,안녕하세요. 이번에 새로 나온 요금제에 가입하고 싶은데 방법을 알려주세요. 지금 제가 쓰고 있는 요금제는 데이터 제공이 너무 적어서 더 많은 데이터를 제공해주는 요금제로 바꾸고 싶어요,네 고객님 말씀하신 내용으로 보면 완전무제한 요금제가 적당해 보입니다. 바로 처리해 드리도록 하겠습니다. 감사합니다.,안녕하세요. 이번에 새로 나온 요금제에 가입하고 싶은데 방법을 알려주세요. 지금 제가 쓰고 있는 요금제는 데이터 제공이 너무 적어서 더 많은 데이터를 제공해주는 요금제로 바꾸고 싶어요. 네 고객님 말씀하신 내용으로 보면 완전무제한 요금제가 적당해 보입니다. 바로 처리해 드리도록 하겠습니다. 감사합니다.
100,2019-01-11,불만접수,0,오늘 요금고지서를 받아보니 사용하지도 않은 결제 요금이 나갔어요. 다시는 이런일이 없도록 해주세요. 왜 제가 모르는 요금을 내야 하는지 정말 화나네요. 한번 더 이런일이 생기면 인터넷 민원을 넣겠어요. 네.,네 고객님 저희 전산상의 오류인것 같고 잘못된 사항은 바로 조치하도록 하겠습니다. 불편을 드려서 정말 죄송합니다. 내일이면 정상적인 요금고지서를 받아 보실 수 있을거에요.,오늘 요금고지서를 받아보니 사용하지도 않은 결제 요금이 나갔어요. 다시는 이런일이 없도록 해주세요. 왜 제가 모르는 요금을 내야 하는지 정말 화나네요. 한번 더 이런일이 생기면 인터넷 민원을 넣겠어요. 네.  네 고객님 저희 전산상의 오류인것 같고 잘못된 사항은 바로 조치하도록 하겠습니다. 불편을 드려서 정말 죄송합니다. 내일이면 정상적인 요금고지서를 받아 보실 수 있을거에요.
